FE: 109/200 | score: 0.9772 | C: 0.9431 | w: 0.4550 | ksc: 0.4291
FE: 113/200 | score: 0.9968 | C: 0.9920 | w: 0.4350 | ksc: 0.4315
FE: 117/200 | score: 0.9952 | C: 0.9879 | w: 0.4150 | ksc: 0.4100
FE: 121/200 | score: 0.9680 | C: 0.9200 | w: 0.3950 | ksc: 0.3634
FE: 125/200 | score: 0.9931 | C: 0.9826 | w: 0.3750 | ksc: 0.3685
FE: 129/200 | score: 0.9983 | C: 0.9959 | w: 0.3550 | ksc: 0.3535
FE: 133/200 | score: 0.9943 | C: 0.9857 | w: 0.3350 | ksc: 0.3302
FE: 137/200 | score: 0.9992 | C: 0.9980 | w: 0.3150 | ksc: 0.3144
FE: 141/200 | score: 0.9984 | C: 0.9960 | w: 0.2950 | ksc: 0.2938
FE: 145/200 | score: 0.9996 | C: 0.9990 | w: 0.2750 | ksc: 0.2747
FE: 149/200 | score: 0.9953 | C: 0.9883 | w: 0.2550 | ksc: 0.2520
FE: 153/200 | score: 0.9813 | C: 0.9532 | w: 0.2350 | ksc: 0.2240
FE: 157/200 | score: 0.9937 | C: 0.9841 | w: 0.2150 | ksc: 0.2116
FE: 161/200 | score: 0.9806 | C: 0.9516 | w: 0.1950 | ksc: 0.1856
FE: 165/200 | score: 0.9903 | C: 0.9759 | w: 0.1750 | ksc: 0.1708
FE: 169/200 | score: 0.9861 | C: 0.9653 | w: 0.1550 | ksc: 0.1496
FE: 173/200 | score: 0.9794 | C: 0.9485 | w: 0.1350 | ksc: 0.1281
FE: 177/200 | score: 0.9938 | C: 0.9844 | w: 0.1150 | ksc: 0.1132
FE: 181/200 | score: 0.9786 | C: 0.9464 | w: 0.0950 | ksc: 0.0899
FE: 185/200 | score: 0.9975 | C: 0.9938 | w: 0.0750 | ksc: 0.0745
FE: 189/200 | score: 1.0000 | C: 1.0000 | w: 0.0550 | ksc: 0.0550
FE: 193/200 | score: 0.9871 | C: 0.9679 | w: 0.0350 | ksc: 0.0339
FE: 197/200 | score: 0.9914 | C: 0.9785 | w: 0.0150 | ksc: 0.0147
